,Ref,link,Black holes
0,Yang et al. (2019),https://iopscience.iop.org/article/10.3847/1538-3881/ab1be1/meta,"J021638.85–522620.6, J024655.90–521949.9, J025216.64–050331.8, J031941.66–100846.0, J213110.29–435902.5, J221100.60–632055.8"
1,Yang et al. (2021),https://iopscience.iop.org/article/10.3847/1538-4357/ac2b32,"J002429.77+391319.0, J003836.10−152723.6, J004533.57+090156.9, J021847.04+000715.2, J024655.90−521949.9, J025216.64−050331.8, J031343.84−180636.4, J031941.66−100846.0, J041128.63−090749.8, J043947.08+163415.7, J052559.68−240623.0, J070626.39+292105.5, J080305.42+313834.2, J082931.97+411740.4, J083737.84+492900.4, J083946.88+390011.5, J091054.53−041406.8, J091013.63+165629.8, J092120.56+000722.9, J092347.12+040254.4, J092359.00+075349.1, J100758.26+211529.2, J105807.72+293041.7, J110421.59+213428.8, J112001.48+064124.3, J112925.34+184624.2, J113508.93+501133.0, J121627.58+451910.7, J131608.14+102832.8, J134208.10+092838.6, J153532.87+194320.1, J172408.74+190143.0, J200241.59−301321.7, J210219.22−145854.0, J221100.60−632055.8, J223255.15+293032.0, J233807.03+214358.2"
2,Yue et al. (2024),https://arxiv.org/pdf/2309.04614,"J0100+2802, J0148+0600, J1030+0524, J159–02, J1120+0641, J1148+5251"
3,Izumi et al. (2021),https://arxiv.org/pdf/2104.05738###,"J0313−1806, J1342+0928, J1007+2115, J1120+0461, J1243+0100, J0038−1527, J0252−0503, J2356+0017"
4,De Rosa et al. (2014),https://arxiv.org/pdf/1311.3260,"J1120+0641, J2348–3054, J0109–3047, J0305–3150"
