,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar [M_sun],+dMstar,-dMstar,comment
10,J2239+0207,"Onoue et al. (2019), Ishimoto et al. (2020)","https://arxiv.org/abs/1904.07278, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",HSC,22:39:47.47,+02:07:47.50,,6.245,0.008,0.007,1.1e9,0.3e9,0.2e9,,,,0.17,0.04,0.05,-24.69,0.04,0.04,,,,,,,,,,,,,coordinates from Ishimoto et al. (2020)
11,J2216−0016,"Onoue et al. (2019), Ishimoto et al. (2020)","https://arxiv.org/abs/1904.07278, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",HSC,22:16:44.47,-00:16:50.10,,6.109,0.007,0.008,0.7e9,0.14e9,0.23e9,,,,0.15,0.05,0.03,-23.82,0.04,0.04,,,,,,,,,,,,,coordinates from Ishimoto et al. (2020)
12,J1208−0200,"Onoue et al. (2019), Ishimoto et al. (2020)","https://arxiv.org/abs/1904.07278, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",HSC,12:08:59.23,-02:00:34.80,,6.144,0.008,0.01,0.71e9,0.24e9,0.52e9,,,,0.24,0.18,0.08,-24.73,0.02,0.02,,,,,,,,,,,,,coordinates from Ishimoto et al. (2020)
13,J0100+2802/J0100+28,"Wu et al. (2015), D'Odorico et al. (2023), Venemans et al. (2020), Mazzucchelli et al. (2023)","https://arxiv.org/abs/1502.07418, https://academic.oup.com/mnras/article/523/1/1399/7172883, https://iopscience.iop.org/article/10.3847/1538-4357/abc563, https://arxiv.org/pdf/2306.16474",SDSS,01:00:13.02,+28:02:25.80,,6.3269,0.0002,0.0002,1.259e10,7.363e9,2.589e9,1.413e48,1.363e47,1.243e47,0.863091,0.511638,0.193076,-29.26,0.20,0.20,,,,,,,,,,,,,"coordinates from D'Odorico et al. (2023), distance, z from Venemans et al. (2020), mass, L_bol, (recalculated using formula [2]) f_Edd from Mazzucchelli et al. (2023)"
14,J1034-1425/P158–14/J158.6-14.42,Eilers et al. (2020),https://arxiv.org/abs/2002.01811,PSO,10:34:46.509,-14:25:15.855,,6.052,0.001,0.001,1.57e9,0.12e9,0.12e9,2.04e47,,,1.01,0.08,0.08,-27.41,,,,,,230,,,,,,,,,
15,J0330–4025,"Eilers et al. (2020), Reed et al. (2017)","https://arxiv.org/abs/2002.01811, https://academic.oup.com/mnras/article/468/4/4702/3089747",VDES,03:30:27.920,-40:25:16.200,,6.239,0.004,0.004,4.96e9,0.51e9,0.51e9,8.91e46,,,0.14,0.01,0.01,-26.42,0.06,0.06,,,,,,,,,,,,,M1450 from Reed et al. (2017)
16,J2100–1715,Eilers et al. (2020),https://arxiv.org/abs/2002.01811,CFHQS,21:00:54.616,-17:15:22.500,,6.082,0.002,0.002,2.18e9,0.21e9,0.21e9,4.37e46,,,0.15,0.02,0.02,-25.55,,,,,,170,,,,,,,,,
17,J2229+1457,"Eilers et al. (2020), Willott et al. (2015)","https://arxiv.org/abs/2002.01811, https://iopscience.iop.org/article/10.1088/0004-637X/801/2/123#apj509348t2",CFHQS,22:29:01.649,+14:57:08.980,,6.144,0.006,0.006,1.44e9,0.25e9,0.25e9,2.29e46,,,0.12,0.02,0.02,-24.78,,,,,,60,8,8,19,10,10,,,,SFR from Willott et al. (2015)
18,J0017+1705/J004+17/J004.3+17.08,"Eilers et al. (2020), ",https://arxiv.org/abs/2002.01811,PSO,00:17:34.467,+17:05:10.696,,5.8165,0.0023,0.0023,1.05e9,,,,,,,,,-26.01,,,,,,20,,,,,,,,,
19,J1335+3533,"Eilers et al. (2018), Ishimoto et al. (2020)","https://arxiv.org/abs/1806.05691, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",SDSS,13:35:50.81,+35:33:15.82,,5.9012,0.0019,0.0019,4.09e9,0.58e9,0.58e9,1.62e47,0.03e47,0.03e47,0.30,0.04,0.04,-26.67,,,,,,,,,,,,,,,coordinates from Ishimoto et al. (2020)
20,J1236+6215/JADES-GN+189.15197+62.25964/GN-954/954,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12:36:36.47,+62:15:34.70,,6.759,,,5.495e7,5.725e7,2.865e7,1.738e45,7.169e44,5.629e44,0.25,0.05,0.05,,,,,,,,,,,,,4.571e10,1.053e10,9.401e9,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
21,J1236+6213/JADES-GN+189.17974+62.22463/GN-1093/1093,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12:36:43.14,+62:13:28.67,,5.594,,,1.175e7,1.395e7,6.254e6,3.311e44,1.701e44,1.020e44,0.15,0.06,0.04,,,,,,,,,,,,,2.188e8,1.280e8,8.074e7,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025), little red dot"
