,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar [M_sun],+dMstar,-dMstar,comment
13,J1420+5258/CEERS_00717,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:20:19.54,+52:58:19.09,,6.936,,,9.8e7,4.4e7,3.2e7,7.1e44,51.8e44,4.3e44,0.06,0.63,0.04,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
14,J1420+5258/CEERS_01236,Harikane et al. (2023),https://arxiv.org/pdf/2303.11946,JWST,14:20:34.87,+52:58:02.02,,4.484,,,1.8e7,1.0e7,0.6e7,1.8e44,2.6e44,0.5e44,0.08,0.20,0.04,,,,,,,,,,,,,,,,+df_Edd may be unusually large because Harikane et al. (2023) estimates L_bol and -dL_bol using equation 17 but estimates +dL_bol using equation 18
15,J0014-3022/GHZ1,Castellano et al. (2023),https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta,JWST,00:14:02.86,-30:22:18.69,,10.47,0.38,0.89,,,,,,,,,,,,,111.8,4.4,4.4,10.7,42.7,4.7,10.7,42.7,4.7,11.5e8,7.1e8,10.3e8,
16,J0014-3021/GHZ4,Castellano et al. (2023),https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta,JWST,00:14:03.30,-30:21:05.62,,10.27,1.2,1.4,,,,,,,,,,,,,41.7,3.1,3.1,2.0,14.2,0.4,2.0,14.2,0.4,4.3e8,1.5e8,3.9e8,
17,J0013-3019/GHZ7,Castellano et al. (2023),https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta,JWST,00:13:48.33,-30:19:14.58,,10.62,0.55,1.02,,,,,,,,,,,,,28.8,3.6,3.6,3.2,10.0,0.5,3.2,10.0,0.5,2.1e8,1.8e8,1.7e8,
18,J0013-3019/GHZ8,Castellano et al. (2023),https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta,JWST,00:13:48.34,-30:19:18.47,,10.85,0.45,0.57,,,,,,,,,,,,,53.7,5.2,5.2,17.5,13.6,12.3,17.5,13.6,12.3,0.8e8,6.4e8,0.16e8,
19,J0014-3025/DHZ1,Castellano et al. (2023),https://iopscience.iop.org/article/10.3847/2041-8213/accea5/meta,JWST,00:14:28.14,-30:25:32.03,,9.3127,0.0002,0.0002,,,,,,,,,,,,,353.3,17.9,17.9,25.4,3.2,4.3,25.4,3.2,4.3,25e8,6.6e8,5.0e8,
20,J1237+6212/GOODS-N-4014,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,12:37:12.03,+62:12:43.36,,5.228,,,3.802e7,7.690e6,6.396e6,9.3e44,0.5e44,0.5e44,,,,,,,389.3,13.4,13.4,,,,,,,,,,little red dot
21,J1237+6214/GOODS-N-9771,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,12:37:07.44,+62:14:50.31,,5.538,,,3.548e8,2.538e7,2.368e7,65.8e44,1.6e44,1.6e44,,,,,,,2494.8,124.7,124.7,,,,,,,,,,little red dot
22,J1237+6215/GOODS-N-12839,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,12:37:22.63,+62:15:48.11,,5.241,,,1.023e8,1.516e7,1.320e7,31.2e44,1.2e44,1.2e44,,,,,,,1250.3,62.5,62.5,,,,,,,,,,little red dot
23,J1236+6216/GOODS-N-13733,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,12:36:13.70,+62:16:08.18,,5.236,,,3.090e7,8.002e6,6.356e6,5.2e44,0.3e44,0.3e44,,,,,,,245.8,12.3,12.3,,,,,,,,,,little red dot
24,J1236+6216/GOODS-N-14409,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,12:36:17.30,+62:16:24.35,,5.139,,,1.622e7,6.169e6,4.469e6,7.4e44,0.9e44,0.9e44,,,,,,,224.3,11.2,11.2,,,,,,,,,,little red dot
25,J1237+6216/GOODS-N-15498,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,12:37:08.53,+62:16:50.82,,5.086,,,5.129e7,1.478e7,1.148e7,10.4e44,1.9e44,1.9e44,,,,,,,488.7,24.4,24.4,,,,,,,,,,little red dot
26,J1236+6217/GOODS-N-16813,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,12:36:43.03,+62:17:33.12,,5.355,,,3.548e7,1.129e7,8.566e6,9.1e44,1.0e44,1.0e44,,,,,,,439.2,22.0,22.0,,,,,,,,,,little red dot
27,J1148+5254/J1148-7111,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,11:48:24.41,+52:54:28.66,,4.339,,,8.318e7,2.154e7,1.711e7,10.8e44,0.8e44,0.8e44,,,,,,,,,,,,,,,,,,,little red dot
28,J1148+5251/J1148-18404,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,11:48:13.91,+52:51:46.09,,5.011,,,6.166e7,2.345e7,1.699e7,6.9e44,1.4e44,1.4e44,,,,,,,,,,,,,,,,,,,little red dot
29,J1148+5250/J1148-21787,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,11:48:05.14,+52:50:01.04,,4.277,,,3.890e7,1.998e7,1.320e7,6.7e44,1.6e44,1.6e44,,,,,,,,,,,,,,,,,,,little red dot
30,J0100+2804/J0100-2017,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,01:00:13.93,+28:04:20.69,,4.938,,,2.754e7,7.939e6,6.163e6,6.7e44,0.8e44,0.8e44,,,,,,,,,,,,,,,,,,,little red dot
31,J0100+2800/J0100-12446,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,01:00:11.58,+28:00:34.98,,4.699,,,2.884e7,4.273e6,3.721e6,12.9e44,0.6e44,0.6e44,,,,,,,,,,,,,,,,,,,little red dot
32,J0100+2803/J0100-15157,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,01:00:07.26,+28:03:00.64,,4.941,,,2.239e7,4.528e6,3.766e6,6.5e44,0.6e44,0.6e44,,,,,,,,,,,,,,,,,,,little red dot
33,J0100+2803/J0100-16221,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,01:00:08.17,+28:03:05.68,,4.349,,,3.388e7,5.926e6,5.044e6,7.1e44,0.6e44,0.6e44,,,,,,,,,,,,,,,,,,,little red dot
34,J0148+0557/J0148-976,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,01:48:35.08,+05:57:20.97,,4.163,,,1.288e7,6.616e6,4.371e6,5.2e44,0.7e44,0.7e44,,,,,,,,,,,,,,,,,,,little red dot
35,J0148+0559/J0148-4214,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,01:48:33.29,+05:59:50.04,,5.019,,,2.089e7,5.410e6,4.297e6,5.9e44,0.4e44,0.4e44,,,,,,,,,,,,,,,,,,,little red dot
36,J0148+0600/J0148-12884,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,01:48:41.58,+06:00:57.30,,4.602,,,8.128e6,3.353e6,2.374e6,5.0e44,0.6e44,0.6e44,,,,,,,,,,,,,,,,,,,little red dot
37,J1119+0639/J1120-7546,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,11:19:59.86,+06:39:17.01,,4.967,,,3.631e7,1.047e7,8.124e6,13.8e44,1.6e44,1.6e44,,,,,,,,,,,,,,,,,,,little red dot
38,J1120+0643/J1120-14389,Matthee et al. (2024),https://iopscience.iop.org/article/10.3847/1538-4357/ad2345,JWST,11:20:00.89,+06:43:10.42,,4.897,,,4.467e7,7.812e6,6.649e6,8.4e44,0.8e44,0.8e44,,,,,,,,,,,,,,,,,,,little red dot
