,Name,Ref,Link,Inst,RA,DEC,Distance,z,+dz,-dz,M [M_sun],+dM,-dM,L_bol [erg/s],+dL_bol,-dL_bol,f_Edd,+df_Edd,-df_Edd,M1450,+dM1450,-dM1450,F444W,+dF44W,-dF444W,SFR_CII,+dSFR_CII,-dSFR_CII,SFR_TIR,+dSFR_TIR,-dSFR_TIR,Mstar,comment
14,J2216−0016,"Onoue et al. (2019), Ishimoto et al. (2020)","https://arxiv.org/abs/1904.07278, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",HSC,22h16m44.s47,−00°16′50.″1,,6.109,0.007,0.008,0.7e9,0.14e9,0.23e9,,,,0.15,0.05,0.03,-23.82,0.04,0.04,,,,,,,,,,,coordinates from Ishimoto et al. (2020)
15,J1208−0200,"Onoue et al. (2019), Ishimoto et al. (2020)","https://arxiv.org/abs/1904.07278, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",HSC,12h08m59.s23,−02°00′34.″8,,6.144,0.008,0.01,0.71e9,0.24e9,0.52e9,,,,0.24,0.18,0.08,-24.73,0.02,,,,,,,,,,,,coordinates from Ishimoto et al. (2020)
16,J0100+2802,"Wu et al Nature 518, 512 (2015), Tripodi et al. (2024)","https://arxiv.org/abs/1502.07418, https://arxiv.org/pdf/2306.01644",SDSS,01h00m13.s024,+28°02′25.″790,,6.3,0.01,0.01,12.4e9,1.9e9,1.9e9,1.62e48,,,0.99,0.22,0.22,-29.26,0.20,0.20,,,,,,,,,,,coordinates from Tripodi et al. (2024)
17,J158–14,Eilers et al. (2020),https://arxiv.org/abs/2002.01811,PSO,10h34m46.s509,–14°25′15.″855,,6.052,0.001,0.001,1.57e9,0.12e9,0.12e9,2.04e47,,,1.01,0.08,0.08,-27.41,,,,,,230,,,,,,,
18,J0330–4025,Eilers et al. (2020),https://arxiv.org/abs/2002.01811,VDES,03h30m27.s920,–40°25′16.″200,,6.239,0.004,0.004,4.96e9,0.51e9,0.51e9,8.91e46,,,0.14,0.01,0.01,-26.42,,,,,,,,,,,,,
19,J2100–1715,Eilers et al. (2020),https://arxiv.org/abs/2002.01811,CFHQS,21h00m54.s616,–17°15′22.″500,,6.082,0.002,0.002,2.18e9,0.21e9,0.21e9,4.37e46,,,0.15,0.02,0.02,-25.55,,,,,,170,,,,,,,
20,J2229+1457,"Eilers et al. (2020), Willott et al. (2015)","https://arxiv.org/abs/2002.01811, https://iopscience.iop.org/article/10.1088/0004-637X/801/2/123#apj509348t2",CFHQS,22h29m01.s649,+14°57′08.″980,,6.144,0.006,0.006,1.44e9,0.25e9,0.25e9,2.29e46,,,0.12,0.02,0.02,-24.78,,,,,,60,8,8,19,10,10,,SFR from Willott et al. (2015)
21,J004+17,"Eilers et al. (2020), ",https://arxiv.org/abs/2002.01811,PSO,00h17m34.s467,+17°05′10.″696,,5.8165,0.0023,0.0023,1.05e9,,,,,,,,,-26.01,,,,,,20,,,,,,,
22,J1335+3533,"Eilers et al. (2018), Ishimoto et al. (2020)","https://arxiv.org/abs/1806.05691, https://iopscience.iop.org/article/10.3847/1538-4357/abb80b/pdf",SDSS,13h35m50.s81,+35°33′15.″82,,5.9012,0.0019,0.0019,4.09e9,0.58e9,0.58e9,1.62e47,0.03e47,0.03e47,0.30,0.04,0.04,-26.67,,,,,,,,,,,,,coordinates from Ishimoto et al. (2020)
23,J0100+2802,"Wu et al. (2015), D'Odorico et al. (2023), Venemans et al. (2020), Mazzucchelli et al. (2023)","https://arxiv.org/abs/1502.07418, https://academic.oup.com/mnras/article/523/1/1399/7172883, https://iopscience.iop.org/article/10.3847/1538-4357/abc563, https://arxiv.org/pdf/2306.16474",SDSS,01h00m13.s02,+28°02′25.″80,87.8kpc,6.3269,0.0002,0.0002,1.259e10,7.363e9,2.589e9,1.413e48,1.363e47,1.243e47,0.99,0.22,0.22,-29.26,0.20,0.20,,,,,,,,,,,"coordinates from D'Odorico et al. (2023), distance, z from Venemans et al. (2020), mass, L_bol from Mazzucchelli et al. (2023)"
24,954,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12h36m36.s47,+62°15′34.″70,,6.759,,,5.495e7,5.725e7,2.865e7,1.738e45,7.169e44,5.629e44,0.25,0.05,0.05,,,,,,,,,,,,,4.571e10,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025)"
25,1093,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12h36m43.s14,+62°13′28.″67,,5.594,,,1.175e7,1.395e7,6.254e6,3.311e44,1.701e44,1.020e44,0.15,0.06,0.04,,,,,,,,,,,,,2.188e8,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025)"
26,3608,Maiolino et al. (2024),https://arxiv.org/abs/2308.01230,JWST,,,,5.26894,,,6.60693e6,9.242e6,3.51664e6,1.e44,,,0.11,,,,,,,,,,,,,,,2.399e8,tentative source according to https://arxiv.org/html/2504.03551v1 Juodžbalis et al. (2025)
27,8083,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,03h32m31.s88,-27°48′06.″70,,4.753,,,1.288e7,1.342e7,6.573e6,1.148e44,1.401e43,1.249e43,0.07,0.01,0.01,,,,,,,,,,,,,2.818e8,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025)"
28,11836,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12h36m52.s94,+62°15′49.″25,,4.409,,,1.000e7,1.089e7,5.214e6,1.585e44,1.934e43,1.724e43,0.13,0.03,0.02,,,,,,,,,,,,,6.166e7,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025)"
29,20621,"Maiolino et al. (2024), Juodžbalis et al. (2025)","https://arxiv.org/abs/2308.01230, https://arxiv.org/html/2504.03551v1",JWST,12h36m29.s40,+62°17′34.″26,,4.682,,,1.230e7,1.524e7,6.679e6,1.738e44,1.213e44,6.158e43,0.11,0.06,0.03,,,,,,,,,,,,,1.148e8,"coordinates, z, mass, L_bol, f_Edd from Juodžbalis et al. (2025)"
